model,n_dimensions,k,silhouette,davies_bouldin,calinski_harabasz,mean_neighbor_distance,artist_diversity,explained_variance,PC1,PC2,PC3
PCA_full_9vars_3D,3,5,0.3161430886827043,1.004081961277786,703971.5222758543,0.03513499016092331,0.9725000000000001,0.6384106026642756,0.3720170262733167,0.13848205755305276,0.12791151883790622
PCA_clean_7vars_3D,3,5,0.279122071853111,1.1607287189416442,662833.9871195296,0.03800817365112663,0.9790000000000001,0.7639853456079495,0.46841476907852647,0.16733161356044712,0.12823896296897594
Macrovariables_PCA_3D,3,5,0.29360574816721857,1.0440955546947268,616831.7452366664,0.03738535405740378,0.9780000000000001,0.7544165149500279,0.36344112985640425,0.20008226662660553,0.1908931184670182
BlockPCA_MetaPCA_3D,3,5,0.26964709893438094,1.1349242262704062,502123.4750450615,0.040502822957842896,0.9815,0.8664936150656718,0.4391108335664778,0.23533855882556465,0.19204422267362933
PCA_sqrt_3D,3,5,0.2984914366264747,1.0576146436722862,679866.6693376157,0.038634369234863776,0.9715,0.6890492247036802,0.4040417900007376,0.15940249306812815,0.12560494163481453
PCA_log1p_3D,3,5,0.3057528194106553,1.0378666299061736,702426.0221139466,0.03809585993619825,0.9780000000000001,0.6892813614169803,0.4105845156142749,0.15359707914493467,0.12509976665777064
PCA_logit_3D,3,5,0.30676163482742475,1.0393931518044104,668904.1296579556,0.03847590107773316,0.9780000000000001,0.6897782078702985,0.3960283317854395,0.16894046169138388,0.12480941439347518
FAMD_3D,3,5,0.3039600513570275,1.0389521738006626,671677.8883498994,0.039401379481962914,0.9790000000000001,,,,
CATPCA_GIFI_approx_3D,3,5,0.38418775788670606,0.9384124988640782,1116765.1849633176,0.014283867284701563,0.9555000000000001,,,,
PCA_plus_MCA_fusion_3D,3,5,0.2782374500388742,1.1074467077616164,529975.4810528693,0.03728678284089532,0.981,0.9001878996003598,0.3001638849272059,0.3000238102067011,0.30000020446645276
UMAP_clean7_3D,3,5,0.3877255320549011,0.9060976597330621,1128807.9439472354,0.022260044399496977,0.9725,,,,
