model,n_dimensions,k,silhouette,davies_bouldin,calinski_harabasz,mean_neighbor_distance,artist_diversity,explained_variance,PC1,PC2,PC3,n_iter
PCA_full_9vars_3D,3,5,0.31407862891581545,0.97547763099377,40889.116929315715,0.08313106237907629,0.9875,0.619866357469898,0.3187190846081654,0.16031547450846442,0.1408317983532682,
PCA_clean_8vars_3D,3,5,0.31630942967201847,0.9882813608537472,41904.95885936523,0.08798257777555869,0.982,,,,,
PCA_clean_7vars_3D,3,5,0.304318420194143,1.0360939129532292,42773.926564909925,0.09226999680518294,0.9835,,,,,
Macrovariables_PCA_3D,3,5,0.28547115516545873,1.0286134254532353,37434.2986478285,0.08489010525031734,0.9854999999999999,0.7351042803301975,0.3158410950351893,0.2128786046913799,0.20638458060362835,
BlockPCA_MetaPCA_3D,3,5,0.3086510488527565,0.9725656149313497,40240.99918235067,0.08509074818723544,0.983,0.8301339483611829,0.4172385241232377,0.2142850951343575,0.1986103291035877,
PCA_sqrt_3D,3,5,0.29377585076790846,1.0508649909376495,39191.945982316116,0.0869129996413656,0.9815,0.6739198515925561,0.34362718233072054,0.19231333733563627,0.13797933192619924,
PCA_log1p_3D,3,5,0.30753982724021445,1.005980382702712,40477.46800963596,0.08853717665040187,0.985,0.6719608918731651,0.3521596573459969,0.18336433032908944,0.13643690419807877,
PCA_logit_3D,3,5,0.30610666485336063,1.0183832715322345,39217.83376188279,0.08767181264918512,0.9830000000000001,0.6767049900609392,0.3320901840815108,0.20593278427026815,0.1386820217091602,
FAMD_3D,3,5,0.30535770538476725,0.9969298118726702,39594.94102786256,0.08630964599210987,0.9880000000000001,,,,,
MCA_approx_3D,3,5,0.3254954529436667,1.0168880926963761,50063.038113757066,0.07535308064158942,0.9860000000000001,,,,,
CATPCA_approx_3D,3,5,0.3133171625120473,0.978190257012453,40855.866471587025,0.08433618791620454,0.9845,,,,,
PCA_plus_MCA_fusion_3D,3,5,0.29413193985708486,1.0564446142431976,35396.91310959693,0.08779445677857531,0.9865,0.9038116612352856,0.30316433894472217,0.3006097444044681,0.30003757788609536,
UMAP_clean7_3D,3,5,0.44935908913612366,0.8982646563425094,227182.5268637827,0.03447441147052358,0.9780000000000001,,,,,
